ICES division,ICES_division_Area_km2,statistic_rectangle,statistic_subrectangle,Area_stat_rect_m2,Area_stat_subrect_m2
27.8.a,62145.0892915,24E2,24E23,4168617203,464865101.2
27.8.a,62145.0892915,24E2,24E26,4168617203,464865101.2
27.8.a,62145.0892915,24E2,24E29,4168617203,464865101.2
27.8.a,62145.0892915,24E2,24E22,4168617203,463180188.4
27.8.a,62145.0892915,24E2,24E25,4168617203,463180188.4
27.8.a,62145.0892915,24E2,24E28,4168617203,463180188.4
27.8.a,62145.0892915,24E2,24E21,4168617203,461493772.2
27.8.a,62145.0892915,24E2,24E24,4168617203,461493656.5
27.8.a,62145.0892915,24E2,24E27,4168617203,461493745.5
27.8.a,62145.0892915,24E2,24E33,4168617203,0.172
27.8.a,62145.0892915,24E2,24E32,4168617203,0.171
27.8.a,62145.0892915,24E2,24E31,4168617203,0.171
27.8.a,62145.0892915,23E3,23E43,3.208,1.073
27.8.a,62145.0892915,23E3,23E42,3.208,1.069
27.8.a,62145.0892915,23E3,23E41,3.208,1.066
27.8.a,62145.0892915,24E3,24E33,4168616969,464865102.3
27.8.a,62145.0892915,24E3,24E36,4168616969,464865101.2
27.8.a,62145.0892915,24E3,24E39,4168616969,464865101.2
27.8.a,62145.0892915,24E3,24E32,4168616969,463180189.5
27.8.a,62145.0892915,24E3,24E35,4168616969,463180188.4
27.8.a,62145.0892915,24E3,24E38,4168616969,463180188.4
27.8.a,62145.0892915,24E3,24E31,4168616969,461493599.8
27.8.a,62145.0892915,24E3,24E34,4168616969,461493736.6
27.8.a,62145.0892915,24E3,24E37,4168616969,461493598.7
27.8.a,62145.0892915,24E3,23E41,4168616969,0
27.8.a,62145.0892915,24E3,24E43,4168616969,1.063
27.8.a,62145.0892915,24E3,24E42,4168616969,1.059
27.8.a,62145.0892915,24E3,24E41,4168616969,1.056
27.8.a,62145.0892915,21E4,21E53,2.152,0.719
27.8.a,62145.0892915,21E4,21E52,2.152,0.717
27.8.a,62145.0892915,21E4,21E51,2.152,0.715
27.8.a,62145.0892915,21E4,22E53,2.152,0
27.8.a,62145.0892915,22E4,22E53,2.132,0.713
27.8.a,62145.0892915,22E4,22E52,2.132,0.711
27.8.a,62145.0892915,22E4,22E51,2.132,0.709
27.8.a,62145.0892915,23E4,23E43,4214091030,469233082.3
27.8.a,62145.0892915,23E4,23E46,4214091030,469233194.5
27.8.a,62145.0892915,23E4,23E49,4214091030,469233082.1
27.8.a,62145.0892915,23E4,23E42,4214091030,467557814
27.8.a,62145.0892915,23E4,23E45,4214091030,467557813.9
27.8.a,62145.0892915,23E4,23E48,4214091030,467557813.9
27.8.a,62145.0892915,23E4,23E41,4214091030,466102667.1
